"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"5707","49","Feminino","Ensino Superior Completo","Outros","Outros","Católica","Não","Sim","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",49320,4,"Sim",205.5
"5708","33","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",60420,3,"Sim",335.666666666667
"5712","47","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Não",53520,4,"Sim",223
"5713","47","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",53520,4,"Sim",223
"5716","41","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",38400,5,"Não",128
"5721","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2940,1,"Não",49
"5724","49","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Pouco adequado","Pouquíssimo flexível","Importante","Desorganizado","Sempre","Sim",56280,4,"Sim",234.5
"5725","49","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Pouco adequado","Pouco flexível","Importante","Desorganizado","Sempre","Não",56280,4,"Sim",234.5
"5732","41","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Outros","Adequado","Flexível","Pouco importante","Muito organizado","Às vezes","Sim",12840,5,"Não",42.8
"5733","42","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Não",42060,7,"Sim",100.142857142857
"5735","53 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",49320,4,"Sim",205.5
"5739","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Pouco importante","Organizado","Sempre","Sim",7680,1,"Não",128
"5740","28","Feminino","Pós-graduação","Solteiro (a)","Outros","Espírita","Sim","Sim","Identificação profissional com o tema","Adequado","Muito flexível","Importante","Organizado","Sempre","Não",46440,7,"Não",110.571428571429
"5754","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Outros","Adequado","Muito flexível","Importante","Organizado","Sempre","Não",21960,1,"Não",366
"5755","44 ANOS","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",55800,3,"Não",310
"5763","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Às vezes","Não",40440,3,"Não",224.666666666667
"5767","47 anos","Feminino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",53400,4,"Sim",222.5
"5775","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9840,5,"Não",32.8
"5776","45","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Evangélica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Organizado","Às vezes","Não",9840,5,"Não",32.8
"5780","41","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",37320,5,"Sim",124.4
"5781","40","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",37320,5,"Sim",124.4
"5790","43","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",41940,4,"Não",174.75
"5792","57","Feminino","Ensino Superior Completo","Casado (a)","Outros","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Às vezes","Não",44160,3,"Não",245.333333333333
"5809","43","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",45480,4,"Sim",189.5
"5818","53","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Não",33000,7,"Não",78.5714285714286
"5822","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",54720,5,"Sim",182.4
"5846","41","Masculino","Pós-graduação","União Estável","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Às vezes","Sim",35100,4,"Sim",146.25
"5847","46","Masculino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Não",22680,10,"Não",37.8
"5853","42","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",6900,2,"Não",57.5
"5865","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",53100,4,"Não",221.25
"5866","46","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",53100,4,"Não",221.25
"5867","51","Masculino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Muito flexível","Muito importante","Organizado","Sempre","Não",6540,4,"Sim",27.25
"5879","43","Masculino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","-","Organizado","Às vezes","Não",11760,4,"Não",49
"5889","41","Masculino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",36300,6,"Sim",100.833333333333
"5895","52","Masculino","Pós-graduação","União Estável","Diretor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Às vezes","Não",45480,6,"Não",126.333333333333
"5901","40","Masculino","Ensino Superior Completo","Outros","Outros","Evangélica","Sim","Sim","Outros","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",20220,10,"Não",33.7
"5902","40","Masculino","Ensino Superior Completo","Outros","Estudante","Evangélica","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Não",20220,10,"Não",33.7
"5907","50","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Organizado","Sempre","Não",58440,4,"Sim",243.5
"5911","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Muito organizado","Sempre","Não",20280,5,"Sim",67.6
"5917","48","Feminino","Ensino Superior Completo","Casado (a)","Outros","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Sim",9360,3,"Não",52
"5918","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",33180,8,"Sim",69.125
"5924","58","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",3480,4,"Não",14.5
"5925","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",3480,4,"Não",14.5
"5939","41 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Não","Identificação profissional com o tema","Adequado","Flexível","Importante","Desorganizado","Sempre","Não",12420,6,"Não",34.5
"5942","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Muito organizado","Às vezes","Não",28260,7,"Não",67.2857142857143
"5960","55","Masculino","Ensino Superior Completo","Casado (a)","Outros","Espírita","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",37320,5,"Sim",124.4
"5968","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Sim",55320,2,"Sim",461
"5970","48","Feminino","Pós-graduação","União Estável","Coordenador (a) Pedagógico","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Muito importante","Organizado","Sempre","Sim",19320,6,"Não",53.6666666666667
"5974","45","Feminino","Ensino Superior Completo","Casado (a)","Coordenador (a) Pedagógico","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",9180,4,"Não",38.25
"5980","-","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","-","Sim","Identificação profissional com o tema","Adequado","Pouco flexível","Pouco importante","Organizado","Sempre","Não",31800,5,"Não",106
"5991","44","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Pouco importante","Organizado","Sempre","Não",23400,9,"Não",43.3333333333333
"5993","53","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",52860,2,"Não",440.5
"5994","53","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",52860,2,"Não",440.5
"6003","cinquenta e quatro","Feminino","Ensino Fundamental Completo","Casado (a)","Outros","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",44760,4,"Sim",186.5
"6006","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",38760,6,"Não",107.666666666667
"6008","45","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",18780,2,"Não",156.5
"6019","39 anos","Feminino","Ensino Superior Incompleto","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",50400,3,"Sim",280
"6045","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",54960,1,"Sim",916
"6050","25","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Muito flexível","Importante","Organizado","Sempre","Sim",11700,6,"Não",32.5
"6059","50","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",24840,4,"Não",103.5
